"","a1-3","CuLFCFe","p1-4","a1","a2-3","Cu","LFCFe","Fe","p1","p2-4"
"aop",2626.44200819416,1376.37748659214,1990.47408886774,1956.76077207657,2089.65777544152,1336.02393449555,1635.54698163816,1800.68543793336,1572.69714303631,1348.71442408725
"ap",9.61814792339602,14.6677924344375,7.09596485849871,9.71134920138635,5.19166991651584,12.8340704136482,10.5073725590502,17.6917978563098,2.75231960445273,12.9356361955036
"RpLP0",22231.2589595501,19330.6132095419,17575.6708204394,24835.8785389044,22371.888670398,16804.2795577676,17708.8395822113,19635.4532920886,16019.5883233139,15642.0339780297
"Appl",283.081785341812,83.516301154434,57.1564690664433,219.7397463429,180.627277401176,79.5834425341827,50.7383150086892,60.9046553315299,32.7723615873634,47.5622093700598
"Aprt",551.939482104038,409.801511725483,391.322980142374,581.747655089739,738.924216912881,673.675484381453,594.903829112838,578.296754490176,480.755801988188,506.224965254113
"aret",55.9715306982323,189.070061898055,43.579496886658,483.314875279338,134.930638166247,304.082234441526,833.684756380008,142.435607607371,1107.1540209376,226.170372574904
"Arl1",651.082825253127,744.407195507792,691.769459891343,918.771205111514,836.031484031537,915.659434881021,895.828568011094,804.045384739102,759.416091628376,758.655945020442
"Argk",51683.6899809048,73193.7675043018,32945.659260139,39505.6912363341,55629.7984453165,111479.927944391,32121.5132893778,81553.08237055,55710.1588530816,51659.1840155993
"arm",5226.38735572081,5106.85205174693,5087.05269244546,4675.93458196707,4328.42745345995,4627.01508476491,4650.54600402209,5200.50263232869,4594.76991546062,4733.81213562525
"arr",1266.68594332743,1593.87417397678,983.373770141564,1126.1619853035,977.577067426163,1928.56904913075,994.479536793187,931.719022265188,714.306165048594,747.409439469318
"Arr1",3.54867652871058,6.42742735930303,9.42810413024348,10.0950171890579,7.50881574461885,21.6623201484745,25.8992690426005,1.64481274134807,2.04287498201947,4.40848610958179
"Arr2",8.41617083770754,9.85871434020411,5.47294318378414,9.8392385306102,15.138511553152,30.6880644845634,36.2635909917264,8.39900110525126,2.26502955551938,0
"ase",0.970922078172193,1.86503057448401,2.93310316645714,6.12576271307178,4.84640151893614,3.73807405781918,2.00882544829953,1.1706420470649,1.29867921299883,4.05162421212632
"ash2",569.949145270792,619.377428034125,536.534795086878,483.581204853101,509.828613589446,495.484163823388,432.634031231277,499.097762176834,476.170036870671,484.110991891334
"asp",33.6306556513981,118.764677475217,79.3684658953771,201.510570898588,41.8459416840373,53.3012368726621,393.204615473747,68.0147745495463,730.939428878384,165.304333546616
"aub",10.1320887547639,19.0099014777544,11.4380749325635,48.728849978241,48.9248575391338,64.4899259259612,72.6297397889775,13.9362651532543,72.0354346808293,22.8650450557268
"aurA",6.64842210431591,35.6608355253564,16.8801476515675,57.4912150030014,7.21246568511136,14.3014414759485,83.0857458229549,17.1620055114766,131.30593805186,39.0715602328257
"awd",4839.9649573256,6259.98621586186,6151.43814911583,9297.36113007474,7537.28827156609,6622.9861112646,6877.24863054568,8890.1030297485,8234.94790007951,8749.42390838741
"Axs",28.1223318494399,31.764432578532,30.3853122647436,42.911193451091,14.3554270526588,17.083518618661,33.6695363391139,23.3517363148456,28.5819842580371,22.1225711524838
"b",1.48486290954006,4.35067148587942,0.243544095553738,2.35719814267328,1.77827886371657,3.51430644283722,2.24688743604466,1.19862760659653,1.50872753994308,2.83861876044935
"Dll",0,0.476105730318743,0.494137537649003,0,0.637460417581212,0.403651957730248,0.832609360575822,0,0.728877634563487,0.24815542899535
